RegionID,SizeRank,RegionName,State,CountyName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31
42728,1327,Peachtree Corners,GA,Gwinnett County,358402,360346,362501,364267,364464,363923,363950,365816,369247,373793,378937,383856,388904,394625,400755,407025,413701,420934,427041,430913,433742,437318,442802,449381,457952,467558,478872,490316,500311,507581,510989,511344,509928,509001,508887,508720,508315,508419,509257,510813,513456,517390,521820,526360,530342,533431,535521,537230,538718,540839,544183,548456,551991,553904,554622,555579,557167,559561,562021,563924,564843,565062,564516,564277,563723,563023,561658,560387,559688,559877,559755,559424
31501,1371,Fairburn,GA,Fulton County,213012,214596,215946,217128,217469,217603,218089,219701,222122,225266,229070,233209,237462,241794,246568,251365,256187,261189,266197,271045,275815,281184,287453,294327,302605,311197,320062,328141,335427,341501,345185,346794,346078,344345,341856,339336,337129,335883,335480,335399,335424,335916,336831,337891,338578,338809,339130,339415,340047,340480,341448,342210,342160,341094,339734,338678,337381,335641,333664,331722,330083,328493,326883,325484,324332,323273,322292,321183,320176,318632,317215,315844
36029,1376,Ringgold,GA,Catoosa County,194910,196099,197599,199031,199956,200445,201239,202847,205546,208780,212157,215021,218111,221481,225086,228879,232917,237335,241292,244356,246435,248401,250926,254300,258781,263834,268594,272687,275886,278867,280626,281352,281040,280637,280480,280642,281229,282339,284446,286749,288820,290458,291766,293260,294705,296166,297372,298032,298930,300297,302465,304140,305633,306370,307052,307485,308262,308910,308988,308525,308215,308091,307953,307798,307864,307952,307997,308059,308384,308841,309280,309722
25096,1390,Hephzibah,GA,Richmond County,140079,141271,143110,144727,145308,145215,145425,146782,149138,151930,154589,156838,158793,160995,163273,165685,167753,169507,170286,170532,170444,171184,172449,173767,176326,180263,184846,188243,189964,190947,191381,191818,192468,193219,193549,193061,191493,189631,188927,189999,191688,192681,192992,193699,195307,197280,199035,200345,201326,202516,203781,205341,206638,207490,207656,207572,207797,208323,208878,209189,209581,209942,209777,208988,207901,207058,206597,206328,206566,207395,208793,210214
12798,1424,Monroe,GA,Walton County,214365,216923,219633,221426,222466,223114,224316,226622,230183,234314,238761,243009,247287,251669,256239,261034,266241,272217,278338,283385,287661,292002,297543,303416,310293,317266,324268,330442,336300,341579,345021,346001,344993,343634,342252,340917,339402,338629,338818,339964,341682,343674,345548,347402,349353,351045,352074,352441,352714,353532,355259,357341,359407,360764,361826,362540,363168,363321,363009,362584,362688,363040,363043,363018,363064,363230,363233,363442,364326,365423,366423,366934
395772,1436,Milton,GA,Fulton County,551336,555005,559092,560410,560083,559138,559384,561729,566391,572462,579782,586872,594491,602786,612003,622959,636214,651172,664118,674199,681738,689953,699359,710495,724621,741696,762352,785424,806938,824906,834256,836123,830598,824110,819606,816850,814536,814109,815301,819730,825872,834494,843263,851602,859529,867812,875665,882236,886519,890632,898054,907877,916458,920115,920912,922002,923703,926203,927578,929139,928970,928337,927020,926684,926326,925344,925120,926239,930979,936041,941323,944295
52353,1440,Grovetown,GA,Columbia County,207918,209264,210519,211490,212066,212577,213357,214854,216988,219514,222321,225063,227714,230218,232710,235450,238745,242450,246239,249544,252530,255448,258544,261706,265129,268895,273101,277996,282711,287042,289409,290430,290268,290324,290563,291048,291229,291381,291946,293037,294336,295551,296398,296939,296985,296690,296279,295845,295714,295823,296404,297091,297552,297512,297325,297497,297925,298283,298414,298502,298596,298508,298076,297678,297782,298261,298799,299091,299455,299917,300449,300994
5958,1460,Milledgeville,GA,Baldwin County,156058,157476,159024,160085,161031,161160,161596,163082,166018,169485,172669,175591,178342,181045,183421,185601,187823,189939,192114,193952,196031,198670,201785,204521,207140,209426,211117,212197,212901,214859,216389,217638,218228,218864,218846,218117,216909,215735,214287,214021,214539,215466,215800,215904,216279,216952,218204,219486,220068,220567,222160,224630,226916,227985,228323,228593,228468,228449,227992,228134,228456,228912,228907,229134,230025,231518,233388,234772,236000,236495,236993,237394
23912,1509,Calhoun,GA,Gordon County,157040,158234,159263,159960,160219,160432,161029,162344,164593,167430,170668,173815,176925,180112,182963,185606,188243,191926,195557,198602,200486,202679,205435,208591,212704,217477,222281,226200,229095,232351,235056,236834,237294,237306,237028,236161,234860,234341,235233,237127,239251,241171,243013,245212,247304,249233,250572,251794,253133,254755,256596,258077,259092,259429,259950,260401,260828,261118,261588,262697,263910,264772,264991,265026,265322,265549,265750,265761,266109,266897,267982,269292
19223,1527,Martinez,GA,Columbia County,184692,185872,186869,187580,187937,188368,189231,190719,192907,195432,198224,200684,203230,205757,208366,210854,213705,216844,219668,221538,222793,224264,226444,229139,232491,236146,239729,244050,248190,252200,254330,255417,255734,256250,256838,257406,257444,257570,258217,259605,261182,262635,263990,265410,266590,267164,267228,267094,267213,267660,268861,270164,271474,272344,272903,273220,273108,273033,273065,273648,274342,274672,274237,273545,273319,273581,274156,274511,274668,274946,275163,275815
5051,1559,Hampton,GA,Henry County,194331,196363,197879,198924,199341,199710,200334,201935,204242,207122,210462,214027,217650,221276,225135,229324,233946,238825,243719,248107,252449,257189,262817,268947,275889,282863,289802,296246,302139,307047,309917,310884,310264,309283,308397,307759,307676,308104,309420,310774,312542,314332,315762,316579,316763,316825,316869,316818,316816,317197,318287,319496,319881,319323,318685,318146,317608,316894,316390,315984,315362,314354,313082,312067,311287,310810,310248,309964,309738,309073,307949,306741
43755,1566,Villa Rica,GA,Carroll County,194513,196075,197368,198433,198924,199340,200098,201883,204790,208488,212464,216512,220466,224841,229421,234181,238920,243953,249253,254169,258680,262967,267794,272766,278802,285188,291678,297957,303542,308862,312209,313794,313572,312688,311452,309893,308213,306995,306522,306494,307125,308466,310328,312166,313626,314670,315408,315871,316278,316869,317666,318587,319187,319213,318884,318404,317828,316971,315982,315143,314398,313478,312094,310798,309540,308626,307980,307669,307522,307286,307151,307104
51882,1567,Ellenwood,GA,Dekalb County,180590,182215,183657,184780,185177,185444,186025,187393,189581,192396,195833,199591,203509,207462,211574,215887,220540,225512,230037,233762,236910,240687,245483,251010,258590,266954,276010,283759,290624,296066,299519,300983,300609,299331,297669,296105,294854,294025,293895,293850,294468,295376,296771,297956,298809,299333,299634,299773,299478,299137,299089,299431,299617,299242,298579,297787,296966,295853,294458,292753,290934,289084,287114,285124,283171,281427,280334,279657,279211,278384,277511,276646
41298,1571,Tucker,GA,Dekalb County,264120,266221,268195,269243,269442,269470,270028,271823,274864,278968,283770,288461,292955,297534,302635,308135,314210,320028,324543,327310,329072,331524,335163,339660,346023,353181,361404,368968,375431,380344,382363,382187,380411,379180,378090,376828,374683,373098,372305,372653,373569,374848,376769,379373,382132,384534,386400,388297,389975,391948,394398,397283,399618,400961,401534,402116,402755,403152,403045,402611,401812,400619,398571,396268,393754,391527,389560,388090,387727,388175,388898,389372
24505,1595,East Point,GA,Fulton County,166497,169485,172110,174079,174895,175042,174655,175130,176751,179380,182855,187086,192315,198505,204732,209963,214053,217362,219047,219026,218409,219019,221248,224419,230499,238774,247974,255341,260136,263386,264441,264141,262935,262205,261585,260904,260708,260954,261518,261679,260994,259657,258405,258783,260220,262144,263718,265040,266491,268161,269867,270724,270182,268524,266617,265180,263956,262202,260183,258265,256992,255627,253756,250963,247424,243907,240782,238537,236734,234882,233074,231185
34288,1597,Tifton,GA,Tift County,147619,147968,148256,149001,149958,151109,152307,153943,156014,157831,159225,159817,160563,161722,163166,164682,166162,167976,169564,170541,171178,172523,174754,176952,179384,181898,184326,186430,187815,189607,190872,191810,191895,192086,192439,192616,192244,192637,193780,195687,197519,199030,199630,199286,198700,198711,199041,199408,199374,199506,200195,201369,202559,203334,203556,203866,203930,203767,202815,202196,201820,201804,201180,200265,199372,198773,198477,198125,198100,198540,199289,200110
32619,1625,Mableton,GA,Cobb County,239692,241768,243789,245100,245461,245569,246050,247512,249905,253204,257208,261496,265934,270864,276196,281647,287220,292654,297268,300825,303947,307990,312975,318669,325499,333042,341317,348950,355104,359625,361671,361993,360892,359904,358779,357346,356052,355534,356193,357283,359012,360715,362244,363201,363714,364083,364099,364149,364468,365941,368291,370678,371921,371761,370910,370140,369596,368895,368037,367043,366105,365081,363647,361973,360106,358374,356669,355273,354103,352887,351510,350405
26434,1658,Peachtree City,GA,Fayette County,383299,384494,385322,385627,384995,384517,384998,387073,390334,394224,398009,401726,405269,409563,414033,419096,425188,431612,437603,441576,444938,449115,454897,461695,469239,477105,485356,493601,500715,506691,510045,511489,510944,509863,509343,509862,510756,511579,514546,519102,524739,528733,532324,535956,539830,543482,547324,550705,553556,556066,558691,561382,562988,563543,563742,564594,566398,568335,570152,571275,571875,572408,572111,572234,572101,572933,573130,572996,572847,572994,572872,572004
55064,1660,Waycross,GA,Ware County,97523,97367,97344,98047,98727,99498,100392,102083,104618,107037,108579,108927,109122,109914,111804,114315,117058,119822,121897,123503,124368,125714,127805,130389,133425,136097,138768,141114,143291,145187,146260,146306,145641,145171,145228,145285,144818,144242,144273,145459,147158,148367,148633,148334,148341,148310,148859,149352,149561,149286,149589,151155,152854,154109,154120,153885,153124,152646,152304,152676,152811,152674,151427,149610,148072,146691,145651,144433,143834,144329,145338,146582
8713,1664,Flowery Branch,GA,Hall County,265484,266867,268334,269870,270615,271024,271776,273890,277188,281143,285224,289284,293514,298487,303895,309615,315531,321880,328171,333887,339294,345063,351591,358348,365770,373903,382712,391661,399640,406362,409998,411294,410720,410066,408556,406564,404388,403226,403178,404006,405601,407799,409959,412158,414036,415709,416962,417792,418703,420033,422278,424664,426498,427074,427114,427411,428065,428566,428486,428461,428705,428840,428255,427356,425987,424191,422045,420520,419868,419538,419283,418912
34268,1800,Thomasville,GA,Thomas County,142131,142472,143175,144497,145420,145859,146108,147076,148879,150530,151723,152274,153192,154619,156622,158842,161149,163616,166108,168463,170281,172356,174903,177854,180805,183558,185539,187705,189454,192269,194332,195782,195857,196011,196343,196523,196387,196749,197806,199078,200124,200931,201438,201762,202248,202740,203768,204932,206228,207010,207914,208861,209620,210152,210722,211603,212064,212142,212264,213110,214116,214373,213716,212987,212799,213073,213582,213888,214133,214456,215457,216846
37836,1807,Chatsworth,GA,Murray County,156097,156079,155998,156549,157361,158007,158886,160645,163368,166128,168211,169814,171535,173689,175873,178006,180512,184201,188174,191617,193752,196066,198892,201884,205181,208659,211407,213022,213895,215787,217933,219190,218980,218063,217108,216507,215699,215295,215696,217338,219591,221555,223118,224431,225786,227110,228421,229436,229619,229584,230453,232181,234568,236414,238224,239566,240604,241417,241826,242458,242706,242934,242313,241374,240214,239373,238705,238234,238376,238715,238949,238784
12849,1833,Moultrie,GA,Colquitt County,117175,117436,117508,118289,118825,119290,119412,120383,122207,124472,125999,126862,127496,128831,130263,131741,132915,134900,137235,139302,140431,141871,144012,146411,148823,150394,150654,149709,149020,149651,150505,150451,148811,146617,144268,141820,139474,137487,137679,139160,141255,142578,143662,144896,146349,147396,148875,149976,150928,151408,152630,154388,156787,159001,160658,160966,160461,159715,159080,159332,159748,160224,159926,159337,158914,158663,158812,158879,159356,160063,161263,162749
42710,1905,Richmond Hill,GA,Bryan County,265631,266442,267444,268211,268598,268832,269418,270818,273281,276262,279429,282081,284757,287575,290589,293488,296907,300622,304418,307621,310895,315023,320138,325716,331550,337737,344124,350983,357721,363929,368104,370087,371018,372200,373445,374449,375216,376228,377823,379707,382050,384544,386891,389412,391943,394553,396733,398717,400521,402794,405783,408932,411575,413506,415122,417222,419265,421034,421713,421923,422159,422348,422267,422040,421893,421284,420228,419079,418505,418109,417511,416963
